name,short_name,city,state,type,established_year,nirf_rank,nirf_score,naac_grade,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,exams_accepted,streams,about,highlights,website,slug
International Management Institute,IMI Delhi,New Delhi,Delhi,PRIVATE,1981,14,66.44,A+,1900000,1900000,100.0,22.0,6.0,"McKinsey,Amazon,Deloitte,KPMG,BCG",CAT,MANAGEMENT,IMI Delhi is a premier private management institution in Delhi with strong global faculty and industry connections.,"Delhi top B-school,Global faculty,100% placement,Private",https://www.imi.edu,international-management-institute
University of Delhi,Delhi University,New Delhi,Delhi,GOVERNMENT,1922,11,69.55,A++,20000,50000,75.0,5.0,0,"Government,Research,Media,Finance,Law",DU Entrance,SCIENCE,University of Delhi is India's most prestigious undergraduate university with 90 constituent colleges and exceptional alumni.,"India top undergrad,Prestigious alumni,Multiple colleges,Government",https://www.du.ac.in,university-of-delhi
Mumbai University,University of Mumbai,Mumbai,Maharashtra,GOVERNMENT,1857,35,60.22,A+,15000,40000,72.0,5.0,0,"Industry,Finance,Commerce,Government",MHT-CET,COMMERCE,University of Mumbai is one of Asia's largest universities and Maharashtra's apex educational institution.,"Asia large university,Maharashtra apex,Old institution,Government",https://mu.ac.in,mumbai-university
Calcutta University,University of Calcutta,Kolkata,West Bengal,GOVERNMENT,1857,30,62.11,A+,15000,35000,70.0,5.0,0,"Government,Research,Academia,Law",WB JEE,SCIENCE,University of Calcutta is one of Asia's oldest universities and West Bengal's premier educational institution.,"Asia oldest,West Bengal premier,Heritage,Government",https://www.caluniv.ac.in,calcutta-university
Osmania University,Osmania University,Hyderabad,Telangana,GOVERNMENT,1918,25,65.0,A+,18000,45000,72.0,5.5,0,"Government,Industry,Research,Academia",TS EAMCET,SCIENCE,Osmania University is one of India's oldest universities and Telangana's apex educational institution.,"Old university,Telangana apex,Heritage campus,Government",https://www.osmania.ac.in,osmania-university
Savitribai Phule Pune University,Pune University,Pune,Maharashtra,GOVERNMENT,1949,22,66.44,A++,12000,35000,73.0,5.5,0,"IT industry,Finance,Government,Research",MHT-CET,SCIENCE,Savitribai Phule Pune University is Maharashtra's premier general university located in India's Oxford.,"Pune premier,Maharashtra university,Old institution,Government",https://www.unipune.ac.in,savitribai-phule-pune-university
Anna University,Anna University Chennai,Chennai,Tamil Nadu,GOVERNMENT,1978,9,70.11,A++,45000,85000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Anna University is Tamil Nadu's apex technical university and conducts TNEA for state engineering admissions.,"Tamil Nadu apex tech,Affiliating university,Government,NAAC A++",https://www.annauniv.edu,anna-university-tamil-nadu
Shri Ram College of Commerce,SRCC,New Delhi,Delhi,GOVERNMENT,1926,0,0,A++,25000,30000,90.0,12.0,0,"McKinsey,BCG,Goldman Sachs,Deloitte,Amazon",DU Entrance,COMMERCE,"SRCC is India's premier commerce college under Delhi University, consistently producing top finance and business professionals.","India top commerce,Finance careers,DU premier,Old institution",https://www.srcc.edu,shri-ram-college-of-commerce
Lady Shri Ram College,LSR,New Delhi,Delhi,GOVERNMENT,1956,0,0,A++,22000,28000,85.0,9.0,0,"Media,Fashion,Finance,Government,Research",DU Entrance,ARTS,"LSR is one of India's top women's colleges under Delhi University, known for humanities and social sciences.","DU top women's college,Humanities,Social sciences,Old institution",https://www.lsr.edu.in,lady-shri-ram-college
Hindu College,Hindu College,New Delhi,Delhi,GOVERNMENT,1899,0,0,A++,20000,27000,84.0,8.5,0,"Finance,Research,Government,Media,Law",DU Entrance,ARTS,Hindu College is one of India's most prestigious undergraduate colleges with exceptional alumni in all fields.,"DU premier,Old institution,Prestigious alumni,Government",https://www.hinducollege.ac.in,hindu-college
Hansraj College,Hansraj,New Delhi,Delhi,GOVERNMENT,1948,0,0,A++,20000,26000,83.0,8.0,0,"Research,IT,Finance,Government,Media",DU Entrance,SCIENCE,Hansraj College is a top DU college known for sciences and has produced prominent scientists and professionals.,"DU top sciences,Old institution,Government,Prestigious alumni",https://www.hansrajcollege.ac.in,hansraj-college
St Stephen's College,St Stephens,New Delhi,Delhi,PRIVATE,1881,0,0,A++,22000,28000,86.0,10.0,0,"Civil Services,Finance,Research,Diplomacy,Law",DU Entrance,ARTS,St Stephen's College is India's most prestigious undergraduate college with a long tradition of producing exceptional alumni.,"India most prestigious,Old institution,IFS/IAS alumni,DU premier",https://www.ststephens.edu,st-stephens-college
Christ University,Christ University,Bengaluru,Karnataka,DEEMED,1969,0,0,A++,250000,350000,85.0,8.0,0,"Finance,IT,Consulting,Media,Government",Christ Entrance,ARTS,Christ University Bangalore is a top deemed university known for quality education across humanities and sciences.,"Bangalore top deemed,Humanities leader,Good placements,NAAC A++",https://christuniversity.in,christ-university
Loyola College,Loyola,Chennai,Tamil Nadu,PRIVATE,1925,0,0,A++,50000,80000,84.0,7.5,0,"Finance,IT,Media,Research,Government",UG Entrance,ARTS,Loyola College Chennai is one of South India's most prestigious autonomous colleges with strong alumni base.,"South India premier,Old institution,Autonomous,Alumni network",https://www.loyolacollege.edu,loyola-college
Presidency College,Presidency College,Chennai,Tamil Nadu,GOVERNMENT,1840,0,0,A++,20000,40000,82.0,7.0,0,"Research,Government,Academia,Law,Finance",TNEA,SCIENCE,Presidency College Chennai is one of India's oldest autonomous colleges with a rich academic tradition.,"India oldest autonomous,Heritage,Government,Research tradition",https://www.presidencychennai.com,presidency-college
Madras Christian College,MCC,Chennai,Tamil Nadu,PRIVATE,1837,0,0,A++,45000,75000,83.0,7.5,0,"Research,Government,Finance,Media,IT",Entrance exam,SCIENCE,Madras Christian College is one of India's oldest and most prestigious autonomous colleges.,"India oldest,Heritage college,Autonomous,Research focus",https://www.mcc.edu.in,madras-christian-college
JSS College of Pharmacy,JSS Pharmacy,Ooty,Tamil Nadu,DEEMED,1980,1,82.44,A++,450000,500000,90.0,6.0,0,"Sun Pharma,Dr Reddy's,Cipla,Aurobindo,Lupin",GPAT,SCIENCE,JSS College of Pharmacy Ooty is India's top pharmacy college with exceptional research and placement records.,"NIRF #1 Pharmacy,India top pharmacy,Research excellence,Deemed",https://www.jsspharmaoooty.ac.in,jss-college-of-pharmacy
Manipal College of Pharmaceutical Sciences,MCOPS,Manipal,Karnataka,DEEMED,1963,3,78.44,A++,600000,650000,88.0,5.5,0,"Sun Pharma,Cipla,Dr Reddy's,Aurobindo,Biocon",GPAT,SCIENCE,MCOPS Manipal is one of India's top pharmacy colleges with strong research and international collaborations.,"NIRF Top 5 Pharmacy,Manipal brand,Research excellence,Deemed",https://manipal.edu/mcops.html,manipal-college-of-pharmaceutical-sciences
Amrita School of Pharmacy,Amrita Pharmacy,Kochi,Kerala,DEEMED,2004,5,74.22,A++,500000,550000,87.0,5.5,0,"Sun Pharma,Cipla,Dr Reddy's,Biocon,Ranbaxy",GPAT,SCIENCE,Amrita School of Pharmacy is one of Kerala's top pharmacy institutions with excellent research output.,"NIRF Top 5 Pharmacy,Amrita brand,Research,Deemed",https://www.amrita.edu/campus/kochi,amrita-school-of-pharmacy
Indian Agricultural Research Institute,IARI,New Delhi,Delhi,CENTRAL,1905,1,85.0,A++,20000,40000,90.0,8.0,0,"ICAR,Government,Research institutions,Agriculture companies",ICAR entrance,AGRICULTURE,"IARI is India's premier agricultural research institute, known as the rice research capital of India.","NIRF #1 Agriculture,ICAR premier,India rice research,Government",https://www.iari.res.in,indian-agricultural-research-institute
Tamil Nadu Agricultural University,TNAU,Coimbatore,Tamil Nadu,GOVERNMENT,1971,3,78.22,A+,30000,60000,82.0,6.0,0,"Agriculture companies,Government,Research institutions",TN Agriculture Entrance,AGRICULTURE,TNAU is South India's premier agricultural university with strong research and extension activities.,"South India agriculture,Government,Research,Tamil Nadu premier",https://www.tnau.ac.in,tamil-nadu-agricultural-university
CEPT University,CEPT University,Ahmedabad,Gujarat,PRIVATE,1962,2,80.0,A++,350000,400000,88.0,9.0,0,"Architecture firms,Urban planners,Real estate,Government",NATA,DESIGN,CEPT University Ahmedabad is one of India's top schools for architecture and planning.,"NIRF Top 5 Architecture,Gujarat top,Architecture focus,Deemed",https://cept.ac.in,cept-university
Chandigarh College of Architecture,CCA,Chandigarh,Punjab,GOVERNMENT,1961,5,72.0,A++,80000,120000,82.0,7.0,0,"Architecture firms,Urban planners,Government bodies",NATA,DESIGN,Chandigarh College of Architecture is one of North India's top architecture colleges.,"North India top arch,Government,Good placements,Heritage",https://www.ccachandigarh.ac.in,chandigarh-college-of-architecture
Institute of Hotel Management Aurangabad,IHM Aurangabad,Aurangabad,Maharashtra,GOVERNMENT,1966,1,82.0,A++,150000,200000,98.0,6.0,0,"Taj Hotels,Marriott,Hilton,ITC,Oberoi",NCHMCT JEE,ARTS,IHM Aurangabad is India's top hotel management institute with exceptional placement in luxury hotel chains.,"NIRF #1 Hospitality,Top hotel management,Luxury placements,Government",https://www.ihmaurangabad.com,institute-of-hotel-management-aurangabad
Welcomgroup Graduate School of Hotel Administration,WGSHA Manipal,Manipal,Karnataka,DEEMED,1972,3,77.0,A+,750000,800000,97.0,5.5,0,"Taj Hotels,Marriott,Hilton,ITC,Hyatt",NCHMCT JEE,ARTS,WGSHA Manipal is one of India's top hotel management schools under the Manipal University system.,"Manipal brand,Top hospitality,Luxury placements,Deemed",https://manipal.edu/wgsha.html,welcomgroup-graduate-school-of-hotel-administration
Amity University Uttar Pradesh,Amity UP,Noida,Uttar Pradesh,PRIVATE,2005,0,0,A+,350000,500000,80.0,7.0,0.8,"TCS,Infosys,Wipro,Amazon,Cognizant",JEE Main,ENGINEERING,Amity University UP is one of North India's largest private universities with comprehensive programs.,"Large private university,Multiple programs,Industry connect,Good placements",https://www.amity.edu/aup,amity-university-uttar-pradesh
Lovely Professional University,LPU,Phagwara,Punjab,PRIVATE,2005,0,0,A+,220000,360000,80.0,7.0,0.8,"TCS,Infosys,Wipro,Amazon,Microsoft",JEE Main,ENGINEERING,LPU is one of North India's largest private universities with the biggest campus in India.,"Biggest campus India,Large university,Industry connect,Good placements",https://www.lpu.in,lovely-professional-university
Shiv Nadar University,SNU,Greater Noida,Uttar Pradesh,PRIVATE,2011,0,0,A+,350000,500000,85.0,9.0,1.0,"Microsoft,Google,Amazon,Qualcomm,Samsung",JEE Main,ENGINEERING,Shiv Nadar University is a top research-focused private university in Delhi NCR with exceptional faculty.,"Research focus,Delhi NCR,Global faculty,Industry connect",https://snu.edu.in,shiv-nadar-university
Ashoka University,Ashoka,Sonipat,Haryana,PRIVATE,2014,0,0,A++,1500000,1500000,88.0,10.0,0,"Consulting,Research,Finance,Government,Media",Ashoka Entrance,ARTS,Ashoka University is India's first genuine liberal arts university with world-class faculty and research culture.,"Liberal arts pioneer,Global faculty,Research culture,Growing",https://www.ashoka.edu.in,ashoka-university
OP Jindal Global University,Jindal Global,Sonipat,Haryana,PRIVATE,2009,0,0,A++,1800000,2000000,90.0,11.0,0,"Law firms,Finance,Government,Consulting,Research",JGU Entrance,LAW,OP Jindal Global University is India's top private liberal arts and law university with global recognition.,"Global top law,Liberal arts,Research focus,Growing",https://www.jgu.edu.in,op-jindal-global-university
Flame University,Flame,Pune,Maharashtra,PRIVATE,2007,0,0,A+,1400000,1400000,87.0,9.0,0,"Consulting,Finance,Media,Research,Arts",Flame Entrance,ARTS,Flame University is Pune's premier liberal arts university offering interdisciplinary education.,"Liberal arts,Pune campus,Interdisciplinary,Global curriculum",https://www.flame.edu.in,flame-university
Azim Premji University,Azim Premji,Bengaluru,Karnataka,PRIVATE,2010,0,0,A+,400000,600000,85.0,7.0,0,"NGOs,Government,Social sector,Research,Education",Entrance exam,ARTS,Azim Premji University is focused on development and social sector with a mission-driven approach to education.,"Social sector focus,Bengaluru,Mission driven,Development",https://azimpremjiuniversity.edu.in,azim-premji-university
IIIT Hyderabad,IIIT Hyderabad,Hyderabad,Telangana,DEEMED,1998,22,68.11,A++,300000,350000,94.0,16.0,1.8,"Google,Microsoft,Amazon,Qualcomm,Samsung",UGEE,ENGINEERING,IIIT Hyderabad is India's premier research-focused IT institution known for AI and computer science research.,"Research premier,AI focus,Top placements,IIIT brand",https://www.iiit.ac.in,iiit-hyderabad
IIIT Bangalore,IIIT Bangalore,Bengaluru,Karnataka,DEEMED,1999,30,63.11,A+,600000,650000,93.0,15.0,1.6,"Google,Microsoft,Amazon,Qualcomm,Intel",IIITB Entrance,ENGINEERING,IIIT Bangalore is a top IT research institution in Bengaluru with strong industry connections.,"Bengaluru tech hub,Research focus,Top placements,IIIT brand",https://www.iiitb.ac.in,iiit-bangalore
IIIT Delhi,IIIT Delhi,New Delhi,Delhi,GOVERNMENT,2008,28,64.22,A+,250000,280000,92.0,14.0,1.5,"Google,Microsoft,Amazon,Qualcomm,Samsung",JEE Main,ENGINEERING,IIIT Delhi is a top government IT institution in the national capital with strong research and placements.,"Delhi campus,Research focus,Top placements,Government",https://www.iiitd.ac.in,iiit-delhi
IIIT Allahabad,IIIT Allahabad,Prayagraj,Uttar Pradesh,CENTRAL,1999,55,54.11,A,200000,230000,88.0,11.0,1.2,"Google,Microsoft,Amazon,Qualcomm,Infosys",JEE Main,ENGINEERING,IIIT Allahabad is one of India's oldest IIITs with strong CS and IT programs.,"Old IIIT,UP campus,Good placements,Research focus",https://www.iiita.ac.in,iiit-allahabad
Kalinga Institute of Industrial Technology,KIIT,Bhubaneswar,Odisha,DEEMED,1992,16,72.55,A++,350000,450000,87.0,8.5,1.0,"Microsoft,Amazon,TCS,Infosys,Wipro",KIITEE,ENGINEERING,"KIIT is a top deemed university in Odisha offering engineering, management and law programs.","NIRF Top 20,Odisha premier,Deemed,Good placements",https://kiit.ac.in,kalinga-institute-of-industrial-technology
SRM University AP,SRM AP,Amaravati,Andhra Pradesh,PRIVATE,2017,0,0,A,240000,380000,80.0,7.5,0.8,"Amazon,Microsoft,TCS,Infosys,Wipro",SRMJEEE,ENGINEERING,SRM University AP is a new campus with modern infrastructure and strong SRM brand backing.,"New campus,SRM brand,Modern infrastructure,Good placements",https://srmap.edu.in,srm-university-ap
VIT AP University,VIT AP,Amaravati,Andhra Pradesh,PRIVATE,2017,0,0,A,195000,340000,80.0,7.5,0.8,"Amazon,Microsoft,TCS,Infosys,Wipro",VITEEE,ENGINEERING,VIT AP University brings VIT's proven educational model to Andhra Pradesh.,"New campus,VIT brand,Modern facilities,Good placements",https://vitap.ac.in,vit-ap-university
Vel Tech University,Vel Tech,Chennai,Tamil Nadu,PRIVATE,1997,0,0,A,120000,180000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Vel Tech University is a private university in Chennai offering a wide range of engineering programs.,"Chennai campus,Multiple programs,Industry connect,Good placements",https://www.veltech.edu.in,vel-tech-university
Hindustan Institute of Technology and Science,HITS,Chennai,Tamil Nadu,DEEMED,1985,0,0,A+,195000,280000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Amazon,Cognizant",TNEA,ENGINEERING,Hindustan Institute of Technology and Science is a top deemed university in Chennai with good industry ties.,"Chennai deemed,Industry connections,Good placements,NAAC A+",https://www.hindustanuniv.ac.in,hindustan-institute-of-technology-and-science
Sathyabama Institute of Science and Technology,Sathyabama,Chennai,Tamil Nadu,DEEMED,1987,0,0,A+,185000,260000,79.0,6.8,0.7,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,Sathyabama Institute is a top deemed university in Chennai with focus on science and technology.,"Chennai deemed,Technology focus,Good placements,NAAC A+",https://www.sathyabama.ac.in,sathyabama-institute-of-science-and-technology
Sri Sivasubramaniya Nadar College of Engineering,SSN Engineering,Chennai,Tamil Nadu,PRIVATE,1996,0,0,A++,175000,200000,88.0,8.5,0.9,"Microsoft,Amazon,Google,Infosys,TCS",TNEA,ENGINEERING,SSN College of Engineering is one of Chennai's top private autonomous engineering colleges.,"Chennai top,Autonomous,Strong placements,Industry connect",https://www.ssn.edu.in,sri-sivasubramaniya-nadar-college-of-engineering
Meenakshi Sundararajan Engineering College,MSEC,Chennai,Tamil Nadu,PRIVATE,2001,0,0,A+,160000,200000,79.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,MSEC is a reputed private engineering college in Chennai with consistent placement performance.,"Chennai private,Good placements,Industry connect,NAAC A+",https://www.msec.ac.in,meenakshi-sundararajan-engineering-college
Saveetha Engineering College,Saveetha,Chennai,Tamil Nadu,PRIVATE,2001,0,0,A,150000,195000,77.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Saveetha Engineering College is a private engineering college in Chennai with growing placement records.,"Chennai private,Growing placements,Industry connect,NAAC A",https://www.saveetha.ac.in,saveetha-engineering-college
Sri Krishna College of Engineering and Technology,SKCET,Coimbatore,Tamil Nadu,PRIVATE,1998,0,0,A++,145000,185000,81.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,SKCET Coimbatore is a top autonomous engineering college in the Coimbatore region.,"Coimbatore top,Autonomous,Good placements,Industry connect",https://www.skcet.ac.in,sri-krishna-college-of-engineering-and-technology
Sri Krishna College of Technology,SKCT,Coimbatore,Tamil Nadu,PRIVATE,2009,0,0,A+,135000,175000,79.0,6.8,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,SKCT Coimbatore is a reputed private engineering college with strong industry tie-ups.,"Coimbatore private,Industry tie-ups,Good placements,NAAC A+",https://www.skct.edu.in,sri-krishna-college-of-technology
Coimbatore Institute of Technology,CIT Coimbatore,Coimbatore,Tamil Nadu,GOVERNMENT,1956,0,0,A++,40000,70000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,CIT Coimbatore is one of Tamil Nadu's top government engineering colleges with a proud legacy.,"Old institution,Government,Low fees,Good placements",https://www.cit.edu.in,coimbatore-institute-of-technology
Sri Ramakrishna Engineering College,SREC,Coimbatore,Tamil Nadu,PRIVATE,1994,0,0,A++,140000,180000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,SREC Coimbatore is an autonomous engineering college with strong industry connections.,"Coimbatore autonomous,Industry connections,Good placements,NAAC A++",https://www.srec.ac.in,sri-ramakrishna-engineering-college
Karpagam College of Engineering,KCE,Coimbatore,Tamil Nadu,PRIVATE,2000,0,0,A+,130000,170000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Karpagam College of Engineering is a top private engineering college in Coimbatore.,"Coimbatore private,Good placements,Industry connect,NAAC A+",https://www.kce.ac.in,karpagam-college-of-engineering
Dr NGP Institute of Technology,Dr NGP IT,Coimbatore,Tamil Nadu,PRIVATE,2008,0,0,A+,125000,165000,77.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Dr NGP Institute of Technology is a private engineering college in Coimbatore with good placements.,"Coimbatore private,Good placements,Industry connect,NAAC A+",https://www.drngpit.ac.in,dr-ngp-institute-of-technology
Rathinam College of Arts and Science,Rathinam,Coimbatore,Tamil Nadu,PRIVATE,2004,0,0,A,80000,120000,74.0,5.5,0,"TCS,Infosys,Wipro,Cognizant,Banking",TNEA,ARTS,"Rathinam College offers arts, science and management programs in Coimbatore with good career support.","Coimbatore arts,Multiple programs,Career support,NAAC A",https://rathinam.in,rathinam-college-of-arts-and-science
Sri Eshwar College of Engineering,SECE,Coimbatore,Tamil Nadu,PRIVATE,2009,0,0,A+,130000,170000,79.0,6.8,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Sri Eshwar College of Engineering is a growing private engineering college in Coimbatore.,"Coimbatore private,Growing placement,Industry connect,NAAC A+",https://www.sece.ac.in,sri-eshwar-college-of-engineering
Hindusthan College of Engineering and Technology,HCET,Coimbatore,Tamil Nadu,PRIVATE,2001,0,0,A+,125000,165000,77.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,HCET Coimbatore is a private engineering college with consistent placement records.,"Coimbatore private,Consistent placements,Industry connect,NAAC A+",https://www.hicetcoimbatore.ac.in,hindusthan-college-of-engineering-and-technology
Sri Vidya College of Engineering and Technology,SVCET Virudhunagar,Virudhunagar,Tamil Nadu,PRIVATE,2007,0,0,A,115000,155000,76.0,6.2,0.65,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,SVCET Virudhunagar is a private engineering college in southern Tamil Nadu.,"South Tamil Nadu,Private college,Good placements,Industry connect",https://www.svcet.net,sri-vidya-college-of-engineering-and-technology
Kamaraj College of Engineering and Technology,KCET Virudhunagar,Virudhunagar,Tamil Nadu,PRIVATE,1995,0,0,A+,120000,160000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Kamaraj College of Engineering and Technology is a top private college in Virudhunagar district.,"South Tamil Nadu,Private top,Good placements,Industry connect",https://www.kamarajengg.edu.in,kamaraj-college-of-engineering-and-technology
National Engineering College,NEC Kovilpatti,Kovilpatti,Tamil Nadu,PRIVATE,1984,0,0,A++,130000,170000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,National Engineering College Kovilpatti is a top autonomous engineering college in southern Tamil Nadu.,"South Tamil Nadu top,Autonomous,Good placements,NAAC A++",https://www.nec.edu.in,national-engineering-college
Noorul Islam Centre for Higher Education,NICHE,Thuckalay,Tamil Nadu,DEEMED,1989,0,0,A+,150000,210000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,NICHE is a top deemed university in the Kanyakumari district of Tamil Nadu.,"Deemed university,South Tamil Nadu,Good placements,Industry connect",https://www.niuniv.com,noorul-islam-centre-for-higher-education
Vel Tech Rangarajan Dr. Sagunthala R&D Institute,Vel Tech R&D,Chennai,Tamil Nadu,DEEMED,1997,0,0,A+,165000,230000,79.0,7.0,0.75,"TCS,Infosys,Wipro,Amazon,Cognizant",TNEA,ENGINEERING,Vel Tech R&D Institute is a top deemed university in Chennai with research and industry focus.,"Chennai deemed,Research focus,Good placements,Industry connect",https://www.veltech.edu.in,vel-tech-rangarajan-dr-sagunthala-rd-institute
Panimalar Engineering College,PEC Chennai,Chennai,Tamil Nadu,PRIVATE,2000,0,0,A+,155000,200000,78.0,6.8,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Panimalar Engineering College is a reputed private engineering college in Chennai.,"Chennai private,Good placements,Industry connect,NAAC A+",https://www.panimalar.ac.in,panimalar-engineering-college
Misrimal Navajee Munoth Jain Engineering College,JEPPIAAR,Chennai,Tamil Nadu,PRIVATE,2001,0,0,A,140000,185000,76.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Jeppiaar Engineering College is a private engineering college in Chennai.,"Chennai private,Good placements,Industry connect,NAAC A",https://www.jeppiaarengg.ac.in,misrimal-navajee-munoth-jain-engineering-college
Easwari Engineering College,Easwari,Chennai,Tamil Nadu,PRIVATE,1996,0,0,A+,160000,205000,79.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,Easwari Engineering College is a top autonomous engineering college affiliated to Anna University.,"Chennai autonomous,Good placements,Industry connect,NAAC A+",https://www.eec.edu.in,easwari-engineering-college
Agni College of Technology,ACT,Chennai,Tamil Nadu,PRIVATE,2001,0,0,A+,145000,190000,77.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Agni College of Technology is a reputed private engineering college in Chennai with good placement support.,"Chennai private,Good placements,Industry connect,NAAC A+",https://act.edu.in,agni-college-of-technology
Jerusalem College of Engineering,JCE Chennai,Chennai,Tamil Nadu,PRIVATE,1988,0,0,A+,148000,195000,78.0,6.8,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Jerusalem College of Engineering is a private engineering college in Chennai near Velachery.,"Chennai private,Good placements,Industry connect,NAAC A+",https://www.jce.ac.in,jerusalem-college-of-engineering
Priyadarshini Engineering College,PriEC,Vellore,Tamil Nadu,PRIVATE,2008,0,0,A,120000,160000,76.0,6.2,0.65,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Priyadarshini Engineering College in Vellore offers quality engineering education.,"Vellore private,Good placements,Industry connect,NAAC A",https://www.priyadarshini.ac.in,priyadarshini-engineering-college
Karpaga Vinayaga College of Engineering and Technology,KVCET,Kanchipuram,Tamil Nadu,PRIVATE,2001,0,0,A+,138000,178000,78.0,6.8,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,KVCET Kanchipuram is a private engineering college near Chennai with good placements.,"Near Chennai,Good placements,Industry connect,NAAC A+",https://www.kvcet.ac.in,karpaga-vinayaga-college-of-engineering-and-technology
Sri Venkateswara College of Engineering Pennalur,SVCE Pennalur,Sriperumbudur,Tamil Nadu,PRIVATE,1985,0,0,A+,155000,200000,81.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,Sri Venkateswara College of Engineering near Chennai has strong industry connections with nearby tech parks.,"Near Chennai,Tech park proximity,Good placements,NAAC A+",https://www.svce.ac.in,sri-venkateswara-college-of-engineering-pennalur
Sri Sairam Engineering College,Sri Sairam,Chennai,Tamil Nadu,PRIVATE,1995,0,0,A++,165000,210000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Microsoft",TNEA,ENGINEERING,Sri Sairam Engineering College is one of Chennai's top autonomous engineering colleges.,"Chennai top,Autonomous,Good placements,NAAC A++",https://www.sairam.edu.in,sri-sairam-engineering-college
Annamalai University,Annamalai,Chidambaram,Tamil Nadu,GOVERNMENT,1929,0,0,A+,40000,80000,76.0,6.0,0.65,"TCS,Infosys,Wipro,Cognizant,Government",TNEA,ENGINEERING,Annamalai University is one of Tamil Nadu's oldest residential universities with diverse programs.,"Old institution,Residential university,Government,Tamil Nadu",https://annamalaiuniversity.ac.in,annamalai-university
Alagappa University,Alagappa,Karaikudi,Tamil Nadu,GOVERNMENT,1985,0,0,A+,25000,60000,72.0,5.5,0,"Government,Research,Industry,Banking",Entrance exam,SCIENCE,"Alagappa University Karaikudi is a leading government university in Tamil Nadu offering arts, science and engineering.","Tamil Nadu government,Multiple programs,Research,Low fees",https://www.alagappauniversity.ac.in,alagappa-university
Bharathidasan University,BDU,Tiruchirappalli,Tamil Nadu,GOVERNMENT,1982,0,0,A+,25000,60000,73.0,5.5,0,"Government,Research,Industry,Banking",Entrance exam,SCIENCE,Bharathidasan University Trichy is a leading government university in Tamil Nadu offering diverse programs.,"Tamil Nadu government,Trichy campus,Multiple programs,Research",https://www.bdu.ac.in,bharathidasan-university
Bharathiar University,Bharathiar,Coimbatore,Tamil Nadu,GOVERNMENT,1982,0,0,A+,25000,60000,73.0,5.5,0,"Government,Research,Industry,IT",Entrance exam,SCIENCE,Bharathiar University Coimbatore is a leading government university known for science and technology programs.,"Tamil Nadu government,Coimbatore campus,Science focus,Research",https://www.b-u.ac.in,bharathiar-university
Mother Teresa Women's University,MTWU,Kodaikanal,Tamil Nadu,GOVERNMENT,1984,0,0,A,18000,40000,68.0,4.5,0,"Government,Research,Education,Social sector",Entrance exam,ARTS,Mother Teresa Women's University is a government women's university in Tamil Nadu offering diverse programs.,"Tamil Nadu women's university,Government,Kodaikanal campus,Multiple programs",https://www.motherteresawomenuniv.ac.in,mother-teresa-womens-university
