name,slug,city,state,type,established_year,nirf_rank,nirf_category,naac_grade,rating,total_ratings,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,courses_offered,website,ugc_approved,about,source
Chandigarh Institute of Engineering 89,chandigarh-institute-of-engineering-89,Chandigarh,Chandigarh,PRIVATE,1950,136,Engineering,A++,4.8,3945,177469,223424,77.0,14.1,19.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.chandigarh-institute-of-engineering-89.edu.in,True,"Chandigarh Institute of Engineering 89 is a premier private institution located in Chandigarh, Chandigarh. Established in 1950, it is highly ranked in Engineering.",kaggle_fallback
State University Jaipur 90,state-university-jaipur-90,Jaipur,Rajasthan,DEEMED,1958,101,Engineering,B++,4.2,618,462960,606874,66.4,11.6,19.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-jaipur-90.edu.in,True,"State University Jaipur 90 is a premier deemed institution located in Jaipur, Rajasthan. Established in 1958, it is highly ranked in Engineering.",kaggle_fallback
State University Nagpur 91,state-university-nagpur-91,Nagpur,Maharashtra,DEEMED,1979,173,Medical,A++,3.9,3575,208532,245284,80.1,8.7,14.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-nagpur-91.edu.in,True,"State University Nagpur 91 is a premier deemed institution located in Nagpur, Maharashtra. Established in 1979, it is highly ranked in Medical.",kaggle_fallback
Amity University Dehradun 92,amity-university-dehradun-92,Dehradun,Uttarakhand,PRIVATE,2011,116,Commerce,B++,4.1,2172,240223,303698,87.9,12.9,31.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.amity-university-dehradun-92.edu.in,True,"Amity University Dehradun 92 is a premier private institution located in Dehradun, Uttarakhand. Established in 2011, it is highly ranked in Commerce.",kaggle_fallback
State University Nagpur 93,state-university-nagpur-93,Nagpur,Maharashtra,GOVERNMENT,1986,122,Medical,A,3.8,187,383500,550957,74.0,6.2,35.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-nagpur-93.edu.in,True,"State University Nagpur 93 is a premier government institution located in Nagpur, Maharashtra. Established in 1986, it is highly ranked in Medical.",kaggle_fallback
Raipur Institute of Management 94,raipur-institute-of-management-94,Raipur,Chhattisgarh,PRIVATE,1941,58,Management,A,4.7,4111,313648,423933,91.4,13.9,43.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.raipur-institute-of-management-94.edu.in,True,"Raipur Institute of Management 94 is a premier private institution located in Raipur, Chhattisgarh. Established in 1941, it is highly ranked in Management.",kaggle_fallback
State University Kochi 95,state-university-kochi-95,Kochi,Kerala,DEEMED,1971,80,Commerce,A,4.5,1932,78318,115785,82.5,13.6,41.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-kochi-95.edu.in,True,"State University Kochi 95 is a premier deemed institution located in Kochi, Kerala. Established in 1971, it is highly ranked in Commerce.",kaggle_fallback
Amity University Raipur 96,amity-university-raipur-96,Raipur,Chhattisgarh,PRIVATE,1969,73,Law,A++,3.8,754,449713,546515,72.7,4.5,39.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.amity-university-raipur-96.edu.in,True,"Amity University Raipur 96 is a premier private institution located in Raipur, Chhattisgarh. Established in 1969, it is highly ranked in Law.",kaggle_fallback
State University Nagpur 97,state-university-nagpur-97,Nagpur,Maharashtra,GOVERNMENT,1960,98,Management,B++,3.8,4091,391151,476668,70.7,11.1,17.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-nagpur-97.edu.in,True,"State University Nagpur 97 is a premier government institution located in Nagpur, Maharashtra. Established in 1960, it is highly ranked in Management.",kaggle_fallback
Patna Institute of Science 98,patna-institute-of-science-98,Patna,Bihar,PRIVATE,2004,189,Science,B++,4.8,3868,408886,469192,94.9,11.8,23.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.patna-institute-of-science-98.edu.in,True,"Patna Institute of Science 98 is a premier private institution located in Patna, Bihar. Established in 2004, it is highly ranked in Science.",kaggle_fallback
Raipur Institute of Law 99,raipur-institute-of-law-99,Raipur,Chhattisgarh,PRIVATE,1999,182,Law,A+,4.1,2449,179768,207627,80.0,4.9,12.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.raipur-institute-of-law-99.edu.in,True,"Raipur Institute of Law 99 is a premier private institution located in Raipur, Chhattisgarh. Established in 1999, it is highly ranked in Law.",kaggle_fallback
Amity University Nagpur 100,amity-university-nagpur-100,Nagpur,Maharashtra,PRIVATE,1965,54,Arts,A++,4.0,3591,489964,681680,75.8,9.1,15.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.amity-university-nagpur-100.edu.in,True,"Amity University Nagpur 100 is a premier private institution located in Nagpur, Maharashtra. Established in 1965, it is highly ranked in Arts.",kaggle_fallback
State University Patna 101,state-university-patna-101,Patna,Bihar,GOVERNMENT,1987,194,Engineering,A++,4.7,3354,372585,414084,89.2,13.7,35.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-patna-101.edu.in,True,"State University Patna 101 is a premier government institution located in Patna, Bihar. Established in 1987, it is highly ranked in Engineering.",kaggle_fallback
Dehradun Institute of Law 102,dehradun-institute-of-law-102,Dehradun,Uttarakhand,PRIVATE,1969,136,Law,A++,4.5,2086,101162,129534,61.3,13.8,24.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.dehradun-institute-of-law-102.edu.in,True,"Dehradun Institute of Law 102 is a premier private institution located in Dehradun, Uttarakhand. Established in 1969, it is highly ranked in Law.",kaggle_fallback
State University Jaipur 103,state-university-jaipur-103,Jaipur,Rajasthan,DEEMED,1981,153,Law,B++,4.3,2886,267342,370405,72.4,14.3,19.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-jaipur-103.edu.in,True,"State University Jaipur 103 is a premier deemed institution located in Jaipur, Rajasthan. Established in 1981, it is highly ranked in Law.",kaggle_fallback
State University Chandigarh 104,state-university-chandigarh-104,Chandigarh,Chandigarh,GOVERNMENT,1966,73,Science,A++,4.5,2261,476658,649833,94.4,7.1,16.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.state-university-chandigarh-104.edu.in,True,"State University Chandigarh 104 is a premier government institution located in Chandigarh, Chandigarh. Established in 1966, it is highly ranked in Science.",kaggle_fallback
Kochi Institute of Engineering 105,kochi-institute-of-engineering-105,Kochi,Kerala,PRIVATE,1988,95,Engineering,A++,4.2,642,89136,126531,92.6,8.6,41.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.kochi-institute-of-engineering-105.edu.in,True,"Kochi Institute of Engineering 105 is a premier private institution located in Kochi, Kerala. Established in 1988, it is highly ranked in Engineering.",kaggle_fallback
State University Bhopal 106,state-university-bhopal-106,Bhopal,Madhya Pradesh,DEEMED,1999,95,Medical,A++,4.0,1566,356236,467491,80.2,12.6,26.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-bhopal-106.edu.in,True,"State University Bhopal 106 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1999, it is highly ranked in Medical.",kaggle_fallback
Patna Institute of Management 107,patna-institute-of-management-107,Patna,Bihar,PRIVATE,1986,98,Management,A,4.5,1732,375197,535339,73.5,11.6,17.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.patna-institute-of-management-107.edu.in,True,"Patna Institute of Management 107 is a premier private institution located in Patna, Bihar. Established in 1986, it is highly ranked in Management.",kaggle_fallback
State University Jaipur 108,state-university-jaipur-108,Jaipur,Rajasthan,GOVERNMENT,1957,180,Management,A+,4.1,491,158802,189191,88.5,5.4,43.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-jaipur-108.edu.in,True,"State University Jaipur 108 is a premier government institution located in Jaipur, Rajasthan. Established in 1957, it is highly ranked in Management.",kaggle_fallback
Dehradun Institute of Law 109,dehradun-institute-of-law-109,Dehradun,Uttarakhand,PRIVATE,1973,116,Law,A,4.1,2010,344110,423120,66.9,9.4,34.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.dehradun-institute-of-law-109.edu.in,True,"Dehradun Institute of Law 109 is a premier private institution located in Dehradun, Uttarakhand. Established in 1973, it is highly ranked in Law.",kaggle_fallback
State University Pune 110,state-university-pune-110,Pune,Maharashtra,GOVERNMENT,1971,113,Arts,B++,3.6,4210,470596,642779,61.7,14.0,32.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.state-university-pune-110.edu.in,True,"State University Pune 110 is a premier government institution located in Pune, Maharashtra. Established in 1971, it is highly ranked in Arts.",kaggle_fallback
State University Pune 111,state-university-pune-111,Pune,Maharashtra,DEEMED,1965,121,Management,A++,3.6,1609,303635,373557,79.7,5.4,21.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-pune-111.edu.in,True,"State University Pune 111 is a premier deemed institution located in Pune, Maharashtra. Established in 1965, it is highly ranked in Management.",kaggle_fallback
Amity University Nagpur 112,amity-university-nagpur-112,Nagpur,Maharashtra,PRIVATE,1990,77,Science,A+,3.8,4743,429021,499274,93.6,12.6,27.1,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.amity-university-nagpur-112.edu.in,True,"Amity University Nagpur 112 is a premier private institution located in Nagpur, Maharashtra. Established in 1990, it is highly ranked in Science.",kaggle_fallback
State University Kochi 113,state-university-kochi-113,Kochi,Kerala,DEEMED,1986,173,Science,A,3.9,1852,192914,229748,72.7,6.6,16.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.state-university-kochi-113.edu.in,True,"State University Kochi 113 is a premier deemed institution located in Kochi, Kerala. Established in 1986, it is highly ranked in Science.",kaggle_fallback
State University Raipur 114,state-university-raipur-114,Raipur,Chhattisgarh,GOVERNMENT,1993,111,Engineering,B++,4.2,331,493458,627011,91.4,9.5,11.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-raipur-114.edu.in,True,"State University Raipur 114 is a premier government institution located in Raipur, Chhattisgarh. Established in 1993, it is highly ranked in Engineering.",kaggle_fallback
State University Bhopal 115,state-university-bhopal-115,Bhopal,Madhya Pradesh,DEEMED,1964,193,Management,A+,4.5,100,385190,489072,79.0,12.7,43.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-bhopal-115.edu.in,True,"State University Bhopal 115 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1964, it is highly ranked in Management.",kaggle_fallback
State University Raipur 116,state-university-raipur-116,Raipur,Chhattisgarh,DEEMED,1978,158,Science,B++,4.4,3172,123073,178137,75.4,11.4,19.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.state-university-raipur-116.edu.in,True,"State University Raipur 116 is a premier deemed institution located in Raipur, Chhattisgarh. Established in 1978, it is highly ranked in Science.",kaggle_fallback
Kochi Institute of Arts 117,kochi-institute-of-arts-117,Kochi,Kerala,PRIVATE,1959,114,Arts,B++,4.0,507,156117,222415,88.1,5.5,31.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.kochi-institute-of-arts-117.edu.in,True,"Kochi Institute of Arts 117 is a premier private institution located in Kochi, Kerala. Established in 1959, it is highly ranked in Arts.",kaggle_fallback
Jaipur Institute of Arts 118,jaipur-institute-of-arts-118,Jaipur,Rajasthan,PRIVATE,1964,134,Arts,A,4.3,1699,365642,436876,62.2,12.2,11.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.jaipur-institute-of-arts-118.edu.in,True,"Jaipur Institute of Arts 118 is a premier private institution located in Jaipur, Rajasthan. Established in 1964, it is highly ranked in Arts.",kaggle_fallback
Dehradun Institute of Management 119,dehradun-institute-of-management-119,Dehradun,Uttarakhand,PRIVATE,1971,137,Management,A,4.7,1769,437695,517031,72.7,8.5,19.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.dehradun-institute-of-management-119.edu.in,True,"Dehradun Institute of Management 119 is a premier private institution located in Dehradun, Uttarakhand. Established in 1971, it is highly ranked in Management.",kaggle_fallback
State University Nagpur 120,state-university-nagpur-120,Nagpur,Maharashtra,GOVERNMENT,1984,128,Management,A++,3.7,990,444253,544756,94.4,7.8,26.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-nagpur-120.edu.in,True,"State University Nagpur 120 is a premier government institution located in Nagpur, Maharashtra. Established in 1984, it is highly ranked in Management.",kaggle_fallback
State University Bhopal 121,state-university-bhopal-121,Bhopal,Madhya Pradesh,GOVERNMENT,1982,159,Medical,A++,4.7,2230,250328,296494,63.5,7.3,29.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-bhopal-121.edu.in,True,"State University Bhopal 121 is a premier government institution located in Bhopal, Madhya Pradesh. Established in 1982, it is highly ranked in Medical.",kaggle_fallback
Raipur Institute of Engineering 122,raipur-institute-of-engineering-122,Raipur,Chhattisgarh,PRIVATE,1953,180,Engineering,A+,4.1,3751,349564,438312,91.8,5.2,43.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.raipur-institute-of-engineering-122.edu.in,True,"Raipur Institute of Engineering 122 is a premier private institution located in Raipur, Chhattisgarh. Established in 1953, it is highly ranked in Engineering.",kaggle_fallback
State University Raipur 123,state-university-raipur-123,Raipur,Chhattisgarh,GOVERNMENT,1979,89,Arts,A+,4.2,4102,127157,145774,67.6,14.4,18.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.state-university-raipur-123.edu.in,True,"State University Raipur 123 is a premier government institution located in Raipur, Chhattisgarh. Established in 1979, it is highly ranked in Arts.",kaggle_fallback
Amity University Bhopal 124,amity-university-bhopal-124,Bhopal,Madhya Pradesh,PRIVATE,1971,77,Commerce,B++,3.9,431,364499,461504,72.1,12.3,16.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.amity-university-bhopal-124.edu.in,True,"Amity University Bhopal 124 is a premier private institution located in Bhopal, Madhya Pradesh. Established in 1971, it is highly ranked in Commerce.",kaggle_fallback
State University Nagpur 125,state-university-nagpur-125,Nagpur,Maharashtra,GOVERNMENT,1941,119,Commerce,A++,4.8,3622,406458,572613,85.7,14.9,24.1,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-nagpur-125.edu.in,True,"State University Nagpur 125 is a premier government institution located in Nagpur, Maharashtra. Established in 1941, it is highly ranked in Commerce.",kaggle_fallback
State University Nagpur 126,state-university-nagpur-126,Nagpur,Maharashtra,DEEMED,1948,131,Science,A++,4.4,4220,484706,718048,60.3,7.5,17.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.state-university-nagpur-126.edu.in,True,"State University Nagpur 126 is a premier deemed institution located in Nagpur, Maharashtra. Established in 1948, it is highly ranked in Science.",kaggle_fallback
State University Raipur 127,state-university-raipur-127,Raipur,Chhattisgarh,DEEMED,1980,178,Law,A++,4.8,2339,212382,267744,87.3,9.6,42.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-raipur-127.edu.in,True,"State University Raipur 127 is a premier deemed institution located in Raipur, Chhattisgarh. Established in 1980, it is highly ranked in Law.",kaggle_fallback
State University Kochi 128,state-university-kochi-128,Kochi,Kerala,GOVERNMENT,1957,136,Medical,B++,4.4,4467,334072,463007,74.9,12.9,43.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-kochi-128.edu.in,True,"State University Kochi 128 is a premier government institution located in Kochi, Kerala. Established in 1957, it is highly ranked in Medical.",kaggle_fallback
Dehradun Institute of Law 129,dehradun-institute-of-law-129,Dehradun,Uttarakhand,PRIVATE,2015,135,Law,A++,4.0,1989,173672,194397,72.3,8.0,29.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.dehradun-institute-of-law-129.edu.in,True,"Dehradun Institute of Law 129 is a premier private institution located in Dehradun, Uttarakhand. Established in 2015, it is highly ranked in Law.",kaggle_fallback
State University Nagpur 130,state-university-nagpur-130,Nagpur,Maharashtra,GOVERNMENT,2012,136,Medical,B++,4.6,4672,220528,269839,66.3,13.5,22.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-nagpur-130.edu.in,True,"State University Nagpur 130 is a premier government institution located in Nagpur, Maharashtra. Established in 2012, it is highly ranked in Medical.",kaggle_fallback
Chandigarh Institute of Commerce 131,chandigarh-institute-of-commerce-131,Chandigarh,Chandigarh,PRIVATE,2008,153,Commerce,A,3.9,148,420591,569809,81.6,12.5,18.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.chandigarh-institute-of-commerce-131.edu.in,True,"Chandigarh Institute of Commerce 131 is a premier private institution located in Chandigarh, Chandigarh. Established in 2008, it is highly ranked in Commerce.",kaggle_fallback
State University Nagpur 132,state-university-nagpur-132,Nagpur,Maharashtra,GOVERNMENT,1957,61,Engineering,A,3.9,3901,121733,137006,69.7,6.0,10.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-nagpur-132.edu.in,True,"State University Nagpur 132 is a premier government institution located in Nagpur, Maharashtra. Established in 1957, it is highly ranked in Engineering.",kaggle_fallback
State University Nagpur 133,state-university-nagpur-133,Nagpur,Maharashtra,DEEMED,1960,191,Engineering,A,3.9,649,311037,373216,68.6,12.4,22.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-nagpur-133.edu.in,True,"State University Nagpur 133 is a premier deemed institution located in Nagpur, Maharashtra. Established in 1960, it is highly ranked in Engineering.",kaggle_fallback
Dehradun Institute of Arts 134,dehradun-institute-of-arts-134,Dehradun,Uttarakhand,PRIVATE,1954,53,Arts,A+,3.8,1708,128414,147574,84.9,8.1,43.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.dehradun-institute-of-arts-134.edu.in,True,"Dehradun Institute of Arts 134 is a premier private institution located in Dehradun, Uttarakhand. Established in 1954, it is highly ranked in Arts.",kaggle_fallback
State University Kochi 135,state-university-kochi-135,Kochi,Kerala,DEEMED,1993,52,Commerce,A+,4.7,4723,172401,195590,79.8,12.7,19.1,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-kochi-135.edu.in,True,"State University Kochi 135 is a premier deemed institution located in Kochi, Kerala. Established in 1993, it is highly ranked in Commerce.",kaggle_fallback
Amity University Patna 136,amity-university-patna-136,Patna,Bihar,PRIVATE,1998,163,Law,B++,4.8,987,414182,600983,66.8,13.3,40.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.amity-university-patna-136.edu.in,True,"Amity University Patna 136 is a premier private institution located in Patna, Bihar. Established in 1998, it is highly ranked in Law.",kaggle_fallback
Raipur Institute of Law 137,raipur-institute-of-law-137,Raipur,Chhattisgarh,PRIVATE,1983,115,Law,A,4.0,3114,240601,332384,92.8,8.0,17.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.raipur-institute-of-law-137.edu.in,True,"Raipur Institute of Law 137 is a premier private institution located in Raipur, Chhattisgarh. Established in 1983, it is highly ranked in Law.",kaggle_fallback
State University Pune 138,state-university-pune-138,Pune,Maharashtra,GOVERNMENT,1946,195,Law,B++,4.6,3396,282497,343432,70.0,10.2,24.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-pune-138.edu.in,True,"State University Pune 138 is a premier government institution located in Pune, Maharashtra. Established in 1946, it is highly ranked in Law.",kaggle_fallback
Raipur Institute of Law 139,raipur-institute-of-law-139,Raipur,Chhattisgarh,PRIVATE,1990,162,Law,B++,3.6,2179,297441,443003,68.2,6.9,21.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.raipur-institute-of-law-139.edu.in,True,"Raipur Institute of Law 139 is a premier private institution located in Raipur, Chhattisgarh. Established in 1990, it is highly ranked in Law.",kaggle_fallback
State University Dehradun 140,state-university-dehradun-140,Dehradun,Uttarakhand,DEEMED,1965,156,Law,A,4.6,3398,113480,137289,71.3,8.8,43.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-dehradun-140.edu.in,True,"State University Dehradun 140 is a premier deemed institution located in Dehradun, Uttarakhand. Established in 1965, it is highly ranked in Law.",kaggle_fallback
State University Jaipur 141,state-university-jaipur-141,Jaipur,Rajasthan,DEEMED,1987,173,Commerce,A++,4.4,171,123490,159236,78.3,14.2,27.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-jaipur-141.edu.in,True,"State University Jaipur 141 is a premier deemed institution located in Jaipur, Rajasthan. Established in 1987, it is highly ranked in Commerce.",kaggle_fallback
State University Bhopal 142,state-university-bhopal-142,Bhopal,Madhya Pradesh,GOVERNMENT,1980,97,Commerce,A+,4.0,179,75392,83864,92.1,11.9,28.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-bhopal-142.edu.in,True,"State University Bhopal 142 is a premier government institution located in Bhopal, Madhya Pradesh. Established in 1980, it is highly ranked in Commerce.",kaggle_fallback
Jaipur Institute of Science 143,jaipur-institute-of-science-143,Jaipur,Rajasthan,PRIVATE,1969,62,Science,A+,4.3,4064,327239,449893,80.4,11.3,40.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.jaipur-institute-of-science-143.edu.in,True,"Jaipur Institute of Science 143 is a premier private institution located in Jaipur, Rajasthan. Established in 1969, it is highly ranked in Science.",kaggle_fallback
State University Kochi 144,state-university-kochi-144,Kochi,Kerala,DEEMED,1969,124,Commerce,A++,3.5,1460,140719,163699,68.2,11.8,26.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-kochi-144.edu.in,True,"State University Kochi 144 is a premier deemed institution located in Kochi, Kerala. Established in 1969, it is highly ranked in Commerce.",kaggle_fallback
Raipur Institute of Arts 145,raipur-institute-of-arts-145,Raipur,Chhattisgarh,PRIVATE,1941,70,Arts,A+,4.3,3868,311467,428352,64.4,11.0,19.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.raipur-institute-of-arts-145.edu.in,True,"Raipur Institute of Arts 145 is a premier private institution located in Raipur, Chhattisgarh. Established in 1941, it is highly ranked in Arts.",kaggle_fallback
State University Raipur 146,state-university-raipur-146,Raipur,Chhattisgarh,DEEMED,1966,195,Management,A++,4.0,3398,215016,263037,74.9,5.1,20.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-raipur-146.edu.in,True,"State University Raipur 146 is a premier deemed institution located in Raipur, Chhattisgarh. Established in 1966, it is highly ranked in Management.",kaggle_fallback
State University Raipur 147,state-university-raipur-147,Raipur,Chhattisgarh,GOVERNMENT,1992,187,Engineering,A++,4.9,3403,239991,295651,91.0,14.6,33.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-raipur-147.edu.in,True,"State University Raipur 147 is a premier government institution located in Raipur, Chhattisgarh. Established in 1992, it is highly ranked in Engineering.",kaggle_fallback
State University Chandigarh 148,state-university-chandigarh-148,Chandigarh,Chandigarh,GOVERNMENT,2002,155,Management,B++,3.8,3684,427800,574130,77.9,9.8,16.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-chandigarh-148.edu.in,True,"State University Chandigarh 148 is a premier government institution located in Chandigarh, Chandigarh. Established in 2002, it is highly ranked in Management.",kaggle_fallback
Pune Institute of Science 149,pune-institute-of-science-149,Pune,Maharashtra,PRIVATE,1984,54,Science,B++,4.6,4673,376139,443132,66.7,9.0,14.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.pune-institute-of-science-149.edu.in,True,"Pune Institute of Science 149 is a premier private institution located in Pune, Maharashtra. Established in 1984, it is highly ranked in Science.",kaggle_fallback
State University Jaipur 150,state-university-jaipur-150,Jaipur,Rajasthan,GOVERNMENT,1992,105,Medical,A,4.3,993,98676,123869,70.6,9.5,21.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-jaipur-150.edu.in,True,"State University Jaipur 150 is a premier government institution located in Jaipur, Rajasthan. Established in 1992, it is highly ranked in Medical.",kaggle_fallback
Pune Institute of Science 151,pune-institute-of-science-151,Pune,Maharashtra,PRIVATE,1986,155,Science,A++,4.2,438,252588,359321,76.5,7.2,21.1,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.pune-institute-of-science-151.edu.in,True,"Pune Institute of Science 151 is a premier private institution located in Pune, Maharashtra. Established in 1986, it is highly ranked in Science.",kaggle_fallback
State University Nagpur 152,state-university-nagpur-152,Nagpur,Maharashtra,DEEMED,1941,109,Arts,B++,3.9,4193,245451,354793,88.3,11.6,38.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.state-university-nagpur-152.edu.in,True,"State University Nagpur 152 is a premier deemed institution located in Nagpur, Maharashtra. Established in 1941, it is highly ranked in Arts.",kaggle_fallback
Pune Institute of Management 153,pune-institute-of-management-153,Pune,Maharashtra,PRIVATE,1968,50,Management,A,3.9,4836,455577,522974,75.7,4.5,38.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.pune-institute-of-management-153.edu.in,True,"Pune Institute of Management 153 is a premier private institution located in Pune, Maharashtra. Established in 1968, it is highly ranked in Management.",kaggle_fallback
Chandigarh Institute of Engineering 154,chandigarh-institute-of-engineering-154,Chandigarh,Chandigarh,PRIVATE,1971,171,Engineering,A,4.2,3569,409476,533466,85.5,4.6,15.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.chandigarh-institute-of-engineering-154.edu.in,True,"Chandigarh Institute of Engineering 154 is a premier private institution located in Chandigarh, Chandigarh. Established in 1971, it is highly ranked in Engineering.",kaggle_fallback
